date,title,link,content
2023-11-15 13:21:10,"[MZ토론] MZ들이 본 여야 기득권 논란 ""정치에 낭만이 없다"" (정치쇼)",https://n.news.naver.com/mnews/article/055/0001106077?sid=100,
2023-11-15 11:28:20,"이스라엘, 하마스 '본진' 침투…전면해체 위한 '최후의 일격'",https://n.news.naver.com/mnews/article/001/0014331862?sid=104,
2023-11-11 08:20:30,"무디스, 美신용등급전망 '안정적'→'부정적'…정치 난맥상 지적(종합2보)",https://n.news.naver.com/mnews/article/001/0014323759?sid=101,
2023-11-13 15:56:35,"인천시 정무직 출마 러시…고주룡 대변인 ""남동을서 바른정치""",https://n.news.naver.com/mnews/article/001/0014327326?sid=100,
2023-11-13 13:53:34,"이재명 ""尹, 거부정치 그만""…방송3법 공포 촉구",https://n.news.naver.com/mnews/article/277/0005339854?sid=100,
2023-11-14 11:11:18,"[정치쇼] ""'어린놈' 생물학적인 말 아냐""…그렇다면 무슨 의미?",https://n.news.naver.com/mnews/article/055/0001105687?sid=100,
2023-11-15 11:41:02,포퓰리즘 정치는 안보도 망친다[김석의 시론],https://n.news.naver.com/mnews/article/021/0002605200?sid=110,
2023-11-14 11:42:02,제주 4·3평화공원 찾은 인요한 “이념에 희생당하는 일 없도록 정치권 잘해야”,https://n.news.naver.com/mnews/article/022/0003874793?sid=100,
2023-11-14 12:05:09,"與, 야권 KBS 인사 반발에 ""정치권, 감놔라 대추놔라 삼가야""",https://n.news.naver.com/mnews/article/001/0014329394?sid=100,
2023-11-13 21:05:42,"장제원 ""정치인생 연장하며 서울 안 가""‥혁신위 '험지 출마' 요구 거부",https://n.news.naver.com/mnews/article/214/0001311584?sid=100,
2023-11-13 11:21:01,노란봉투법·방송3법 통과에…“尹 거부권 건의” vs “거부정치 그만”,https://n.news.naver.com/mnews/article/081/0003408062?sid=100,
2023-11-15 15:38:05,주가도 통화도…정치에 휘둘리는 글로벌 시장,https://n.news.naver.com/mnews/article/011/0004261829?sid=104,
2023-11-12 11:37:03,"여당 ""민주, 이동관 탄핵 위해 꼼수 동원…도 넘은 나쁜정치""",https://n.news.naver.com/mnews/article/003/0012203966?sid=100,
2023-11-14 21:09:01,"'위장 탈당' 논란 민형배, 새 책 '탈당의 정치' 출판기념회",https://n.news.naver.com/mnews/article/088/0000845990?sid=100,
2023-11-14 17:35:01,서승우 “정치인으로 첫발”…15일 국민의힘 입당,https://n.news.naver.com/mnews/article/031/0000788109?sid=102,
2023-11-15 11:33:02,내년 4.10 총선…유정복 시장 ‘정치력’ 시험대,https://n.news.naver.com/mnews/article/629/0000249198?sid=102,
2023-11-11 12:04:11,"이준석, 대구 초선 향해 ""윤핵관 하수인 돼 싸가지 없게 정치""",https://n.news.naver.com/mnews/article/003/0012203165?sid=100,
2023-11-13 05:34:45,'편입' 의견 수렴은 어떻게?...복잡한 정치 셈법,https://n.news.naver.com/mnews/article/052/0001959077?sid=100,
2023-11-15 17:50:03,포스코 미래기술연구원 성남 분원 설립 확정…범대위·정치권 등 포항 각계 집단 반발,https://n.news.naver.com/mnews/article/022/0003875361?sid=102,
2023-11-14 09:21:03,"송영길 이어 민형배도 ""정치 후지게 한 건 한동훈 같은 XX""",https://n.news.naver.com/mnews/article/055/0001105653?sid=100,
2023-11-14 14:07:08,"한동훈 ""민주당, 정치적 계산으로 탄핵 남발""",https://n.news.naver.com/mnews/article/277/0005340473?sid=102,
2023-11-15 09:48:03,"'中 정치 탄압' 폭스콘 회장 ""지정학적 문제 대비책 마련 중""",https://n.news.naver.com/mnews/article/421/0007176609?sid=104,
2023-11-13 10:03:55,"이재명, 윤 대통령에 ""거부권 남발 '거부정치' 그만…방송법 수용해야""",https://n.news.naver.com/mnews/article/421/0007170921?sid=100,
2023-11-14 06:08:03,장제원 “알량한 정치인생 연장하며 서울 안 가”…인요한 권고 거부,https://n.news.naver.com/mnews/article/022/0003874673?sid=100,
2023-11-13 10:07:01,"민주당 민형배 ""정치 후지게 한 건 한동훈 같은 XX들""",https://n.news.naver.com/mnews/article/079/0003832825?sid=100,
2023-11-13 21:48:01,"장제원, 지지자 모임서 “알량한 정치인생 연장하며 서울 가지 않아”",https://n.news.naver.com/mnews/article/023/0003798899?sid=100,
2023-11-15 18:07:06,"[영상] 봉사활동 사진 공개된 한동훈 아내 진은정 변호사…한동훈에 ""정치 행보냐"" 묻자 미소 띠며 한 말",https://n.news.naver.com/mnews/article/055/0001106182?sid=100,
2023-11-14 16:38:10,김동연-강기정 “김포 서울편입은 총선 앞둔 정치 속임수”(종합),https://n.news.naver.com/mnews/article/421/0007175627?sid=102,
2023-11-15 11:21:00,"류호정, 송영길 '어린놈' 발언에 ""인간이 좀 덜 된 것 아닌가""",https://n.news.naver.com/mnews/article/001/0014331819?sid=100,
2023-11-15 10:57:49,"'불출마' 강민정 ""민주당에도 정치 퇴행 책임 있어""",https://n.news.naver.com/mnews/article/277/0005341048?sid=100,
2023-11-13 10:46:09,"이재명 대표 ""거부권 행사 정치 그만하고 방송법 즉각 수용해야""",https://n.news.naver.com/mnews/article/437/0000366804?sid=100,
2023-11-13 10:11:02,"野 민형배 ""정치를 후지게 한 건 한동훈같은 XX들""",https://n.news.naver.com/mnews/article/629/0000248710?sid=100,
