Time,Title,Network,URL
2023.09.16.,[사실확인] 11월 플라스틱 금지되는데 종이 빨대가 더 친환경이다?,MBN,https://n.news.naver.com/article/448/0000428086
2023.09.16.,[따져보니] '50년 주담대' 사라지나…달라지는 대출 어떻게?,TV조선,https://n.news.naver.com/article/057/0001768973
2023.09.15.,[따져보니] 파업 쟁점은 '수서행 KTX'…노조 노림수는?,TV조선,https://n.news.naver.com/article/448/0000428022
2023.09.15.,[팩트체크] 동물원이 '동물 감옥'인가…학대해도 처벌 규정 없다?,연합뉴스,https://n.news.naver.com/article/448/0000427954
2023.09.14.,[따져보니] 스토킹법 강화됐지만…보완할 점은?,TV조선,https://n.news.naver.com/article/001/0014194564
2023.09.13.,"[따져보니] 주식 백지신탁…실효성 논란, 왜?",TV조선,https://n.news.naver.com/article/448/0000427785
2023.09.12.,[따져보니] 도넘은 부정채용…처벌법이 없다?,TV조선,https://n.news.naver.com/article/448/0000427597
2023.09.12.,"[팩트체크]‘유럽의 골칫거리’ 난민, 받아들일수록 범죄율 높아질까",매일경제,https://n.news.naver.com/article/448/0000427421
2023.09.11.,"[따져보니] 모로코 지진, 튀르키예 때와 다르다…""한국도 안심 못 해""",TV조선,https://n.news.naver.com/article/009/0005185409
2023.09.09.,[따져보니] 경기 '상저하저'?…L자형 장기 저성장 현실화 하나,TV조선,https://n.news.naver.com/article/448/0000427225
2023.09.09.,"최초 '길냥이 보호조례' 제정 가능할까?…'중성화 수술, 급식소 설치'[노컷체크]",노컷뉴스,https://n.news.naver.com/article/448/0000426990
2023.09.09.,[팩트체크] '자유시 참변'은 일본의 사주로 일어났다?,연합뉴스,https://n.news.naver.com/article/079/0003810890
2023.09.08.,[따져보니] 교권보호법 여야 공방…현장 목소리는?,TV조선,https://n.news.naver.com/article/001/0014181512
2023.09.08.,[팩트체크] 초등학생 수학여행시 일반 전세버스는 안된다?,YTN,https://n.news.naver.com/article/448/0000426911
2023.09.08.,[팩트체크] 우리나라에서 팁을 주고 받는 건 법 위반이다?,YTN,https://n.news.naver.com/article/052/0001933441
2023.09.08.,[팩트체크] 우리나라에서 가장 나이가 많은 연령대는?,YTN,https://n.news.naver.com/article/052/0001933440
2023.09.08.,[팩트체크]20년대 공산당은 북한 수립 공산당과 다르게 봐야 한다?,이데일리,https://n.news.naver.com/article/052/0001933439
2023.09.07.,뉴스타파 논란에 이재명 페북글 삭제? 알고보니... [오마이팩트],오마이뉴스,https://n.news.naver.com/article/018/0005570645
2023.09.06.,[따져보니] 서로 절실한 북러…뭘 주고 받나,TV조선,https://n.news.naver.com/article/047/0002405546
2023.09.06.,[사실확인] 선진국에서는 가석방 없는 종신형을 폐지하는 추세에 있다?,MBN,https://n.news.naver.com/article/448/0000426556
2023.09.05.,"[따져보니] 조총련은 어떤 단체?…""약간 친북성향"" vs ""북한 대표부""",TV조선,https://n.news.naver.com/article/057/0001766774
